date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d,Month,Interest
07/05/2013,16.6061,16.6339,16.2036,16.3807,483753200,458.6596,-0.45,530093480,2013-05,49
08/05/2013,16.3943,16.6204,16.2789,16.5657,472598000,463.8396,1.13,534926980,2013-05,49
09/05/2013,16.4218,16.5357,16.2707,16.3132,398487600,456.7696,-0.87,538433140,2013-05,49
10/05/2013,16.3561,16.4182,16.0886,16.1775,334852000,452.97,-0.83,543245080,2013-05,49
13/05/2013,16.1254,16.3536,16.125,16.2407,316948800,454.7396,0.39,543216520,2013-05,49
14/05/2013,16.2089,16.2571,15.7911,15.8521,447118000,443.8588,-2.39,550283860,2013-05,49
15/05/2013,15.6843,15.75,15.0843,15.3161,741613600,428.8508,-3.38,540111740,2013-05,49
16/05/2013,15.1157,15.6375,14.9607,15.5207,603204000,434.5796,1.34,536956980,2013-05,49
17/05/2013,15.6804,15.7175,15.3932,15.4736,427904400,433.2608,-0.3,527888480,2013-05,49
20/05/2013,15.4254,15.9214,15.3607,15.8189,451578400,442.9292,2.23,528971380,2013-05,49
21/05/2013,15.6482,15.91,15.5071,15.7021,456022000,439.6588,-0.74,518560560,2013-05,49
22/05/2013,15.8589,16.0125,15.6507,15.7625,443038400,441.35,0.38,492229920,2013-05,49
23/05/2013,15.5696,15.9343,15.5639,15.7907,353021200,442.1396,0.18,490639100,2013-05,49
24/05/2013,15.7446,15.9164,15.7271,15.8982,276166800,445.1496,0.68,466242560,2013-05,49
28/05/2013,16.0679,16.1111,15.7446,15.7657,386145200,441.4396,-0.83,453533500,2013-05,49
29/05/2013,15.7143,15.9821,15.6929,15.8911,330576400,444.9508,0.8,435485400,2013-05,49
30/05/2013,15.9161,16.2321,15.8754,16.1279,353519600,451.5812,1.49,427815920,2013-05,49
31/05/2013,16.1607,16.325,16.0536,16.0618,384302800,449.7304,-0.41,425939640,2013-05,49
03/06/2013,16.0975,16.1557,15.8029,16.0971,372352400,450.7188,0.22,426492220,2013-06,55
04/06/2013,16.1864,16.2296,15.9782,16.0468,292728800,449.3104,-0.31,416296580,2013-06,55
05/06/2013,15.9161,16.0971,15.8468,15.8968,290589600,445.1104,-0.94,406638400,2013-06,55
06/06/2013,15.9096,15.9643,15.5018,15.6593,416934000,438.4604,-1.49,403855200,2013-06,55
07/06/2013,15.5893,15.83,15.4561,15.7789,404535600,441.8092,0.76,404157600,2013-06,55
10/06/2013,15.8832,16.0386,15.6,15.6746,450153200,438.8888,-0.66,409922660,2013-06,55
11/06/2013,15.5621,15.8129,15.4757,15.6286,286112400,437.6008,-0.29,408380840,2013-06,55
12/06/2013,15.6964,15.7589,15.4107,15.4354,265227200,432.1912,-1.24,399286300,2013-06,55
13/06/2013,15.4464,15.6121,15.3125,15.57,285832400,435.96,0.87,376497240,2013-06,55
14/06/2013,15.55,15.5818,15.3036,15.3589,271866000,430.0492,-1.36,359930340,2013-06,55
17/06/2013,15.4086,15.5607,15.37,15.4286,259414400,432.0008,0.45,351505840,2013-06,55
18/06/2013,15.4129,15.5321,15.3646,15.4204,195025600,431.7712,-0.05,338678200,2013-06,55
19/06/2013,15.4071,15.4164,15.1071,15.1071,310940000,422.9988,-2.03,331424100,2013-06,55
20/06/2013,14.975,15.2136,14.8275,14.8871,357310800,416.8388,-1.46,327137720,2013-06,55
21/06/2013,14.9461,15,14.575,14.7679,481118400,413.5012,-0.8,333542580,2013-06,55
24/06/2013,14.55,14.595,14.2161,14.3764,480746000,402.5392,-2.65,343771540,2013-06,55
25/06/2013,14.4893,14.5639,14.2439,14.3796,314162800,402.6288,0.02,340172420,2013-06,55
26/06/2013,14.425,14.4568,14.1307,14.2168,367724000,398.0704,-1.13,342029800,2013-06,55
27/06/2013,14.2589,14.3354,14.055,14.0636,337246000,393.7808,-1.08,341216120,2013-06,55
28/06/2013,13.9771,14.2954,13.8882,14.1618,578516400,396.5304,0.7,350926800,2013-06,55
01/07/2013,14.3818,14.7239,14.3293,14.615,391053600,409.22,3.2,351861860,2013-07,53
02/07/2013,14.6414,15.0582,14.6239,14.9461,469865200,418.4908,2.26,360718680,2013-07,53
03/07/2013,15.0307,15.1064,14.9089,15.0286,240928800,420.8008,0.55,358235640,2013-07,53
05/07/2013,15.0139,15.1175,14.8339,14.9079,274024800,417.4212,-0.8,351090180,2013-07,53
08/07/2013,15.0039,15.0357,14.6661,14.8232,298138400,415.0496,-0.57,345770320,2013-07,53
09/07/2013,14.7714,15.125,14.6564,15.0839,352584400,422.3492,1.76,340891880,2013-07,53
10/07/2013,14.9857,15.1714,14.9375,15.0261,281405600,420.7308,-0.38,340656540,2013-07,53
11/07/2013,15.1054,15.2946,15.0418,15.2604,326292400,427.2912,1.56,343709800,2013-07,53
12/07/2013,15.2732,15.3496,15.1218,15.2325,279563200,426.51,-0.18,343396340,2013-07,53
15/07/2013,15.1789,15.4093,15.1714,15.2657,241917200,427.4396,0.22,341898900,2013-07,53
16/07/2013,15.2329,15.3825,15.1489,15.3643,216538000,430.2004,0.65,339755080,2013-07,53
17/07/2013,15.3464,15.4364,15.2936,15.3682,198990400,430.3096,0.03,339953320,2013-07,53
18/07/2013,15.4779,15.5311,15.3789,15.42,218878800,431.76,0.34,335350260,2013-07,53
19/07/2013,15.4679,15.4993,15.1554,15.1768,268721600,424.9504,-1.58,330920800,2013-07,53
22/07/2013,15.3379,15.3482,15.1954,15.2254,207796400,426.3112,0.32,317254700,2013-07,53
23/07/2013,15.2143,15.2486,14.9539,14.9639,369395600,418.9892,-1.72,311687180,2013-07,53
24/07/2013,15.6761,15.8782,15.545,15.7325,591936800,440.51,5.14,325575880,2013-07,53
25/07/2013,15.7393,15.7643,15.5646,15.6607,229493600,438.4996,-0.46,318664360,2013-07,53
